Country,Year,Month,Day_Length,Sunrise,Sunset,Day_Length_Seconds
British_Virgin_Islands,2022,10,12:00:19,10:07:54 AM,10:08:13 PM,43219
British_Virgin_Islands,2022,11,11:29:55,10:17:05 AM,9:47:00 PM,41395
British_Virgin_Islands,2022,12,11:08:41,10:33:12 AM,9:41:53 PM,40121
Brunei_Darussalam,2022,1,11:52:49,10:27:12 PM,10:20:01 AM,42769
Brunei_Darussalam,2022,2,11:57:04,10:35:11 PM,10:32:15 AM,43024
Brunei_Darussalam,2022,3,12:03:38,10:30:46 PM,10:34:24 AM,43418
Brunei_Darussalam,2022,4,12:12:00,10:18:10 PM,10:30:10 AM,43920
Brunei_Darussalam,2022,5,12:19:47,10:07:27 PM,10:27:14 AM,44387
Brunei_Darussalam,2022,6,12:25:33,10:05:14 PM,10:30:47 AM,44733
Brunei_Darussalam,2022,7,12:26:29,10:10:47 PM,10:37:16 AM,44789
Brunei_Darussalam,2022,8,12:22:09,10:15:30 PM,10:37:39 AM,44529
Brunei_Darussalam,2022,9,12:14:41,10:12:58 PM,10:27:39 AM,44081
Brunei_Darussalam,2022,10,12:06:39,10:06:38 PM,10:13:17 AM,43599
Brunei_Darussalam,2022,11,11:58:57,10:04:19 PM,10:03:16 AM,43137
Brunei_Darussalam,2022,12,11:53:42,10:12:15 PM,10:05:57 AM,42822
